hash_type,hash_value,dataset_a_count,dataset_b_count,dataset_a_sample_paths,dataset_b_sample_paths,dataset_a_sample_image_ids,dataset_b_sample_image_ids
average_hash,0000000003ff7e3c,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0063913.jpg,assets\bcn_20000_data\ISIC_0063913.jpg,ISIC_0063913,ISIC_0063913
average_hash,0000000387fffffe,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0067846.jpg,assets\bcn_20000_data\ISIC_0067846.jpg,ISIC_0067846,ISIC_0067846
average_hash,0000003878fcfeff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0067717.jpg,assets\bcn_20000_data\ISIC_0067717.jpg,ISIC_0067717,ISIC_0067717
average_hash,0000005dfffffbe0,1,1,assets\ISIC_2019_Test_Organized\squamous cell carcinoma\ISIC_0060396.jpg,assets\bcn_20000_data\ISIC_0060396.jpg,ISIC_0060396,ISIC_0060396
average_hash,00000080e1efffff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0069573.jpg,assets\bcn_20000_data\ISIC_0069573.jpg,ISIC_0069573,ISIC_0069573
average_hash,00000098ff7ffff7,1,1,assets\ISIC_2019_Test_Organized\squamous cell carcinoma\ISIC_0062182.jpg,assets\bcn_20000_data\ISIC_0062182.jpg,ISIC_0062182,ISIC_0062182
average_hash,00000101b1dfffff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0065512.jpg,assets\bcn_20000_data\ISIC_0065512.jpg,ISIC_0065512,ISIC_0065512
average_hash,0000020e4fefff7e,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0059651.jpg,assets\bcn_20000_data\ISIC_0059651.jpg,ISIC_0059651,ISIC_0059651
average_hash,00000b091001c7ff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0057402.jpg,assets\bcn_20000_data\ISIC_0057402.jpg,ISIC_0057402,ISIC_0057402
average_hash,000018f8f7fffffe,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0068564.jpg,assets\bcn_20000_data\ISIC_0068564.jpg,ISIC_0068564,ISIC_0068564
average_hash,00003c7e7e3c1800,8,20,assets\ISIC_2019_Test_Organized\basal cell carcinoma\ISIC_0054484.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0060977.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0063305.jpg;assets\ISIC_2019_Test_Organized\melanoma\ISIC_0072166.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0056460.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0058986.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0065936.jpg;assets\ISIC_2019_Test_Organized\nevus\ISIC_0066930.jpg,assets\bcn_20000_data\ISIC_0054484.jpg;assets\bcn_20000_data\ISIC_0055206.jpg;assets\bcn_20000_data\ISIC_0056460.jpg;assets\bcn_20000_data\ISIC_0057409.jpg;assets\bcn_20000_data\ISIC_0058850.jpg;assets\bcn_20000_data\ISIC_0058986.jpg;assets\bcn_20000_data\ISIC_0060032.jpg;assets\bcn_20000_data\ISIC_0060977.jpg;assets\bcn_20000_data\ISIC_0061016.jpg;assets\bcn_20000_data\ISIC_0061548.jpg,ISIC_0054484;ISIC_0060977;ISIC_0063305;ISIC_0072166;ISIC_0056460;ISIC_0058986;ISIC_0065936;ISIC_0066930,ISIC_0054484;ISIC_0055206;ISIC_0056460;ISIC_0057409;ISIC_0058850;ISIC_0058986;ISIC_0060032;ISIC_0060977;ISIC_0061016;ISIC_0061548
average_hash,00003c7e7e3c3c00,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0056081.jpg,assets\bcn_20000_data\ISIC_0056081.jpg,ISIC_0056081,ISIC_0056081
average_hash,000040feffffffff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054902.jpg,assets\bcn_20000_data\ISIC_0054902.jpg,ISIC_0054902,ISIC_0054902
average_hash,000060709c80dfff,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0072389.jpg,assets\bcn_20000_data\ISIC_0072389.jpg,ISIC_0072389,ISIC_0072389
average_hash,000060e0f8fefe7e,1,1,assets\ISIC_2019_Test_Organized\benign keratosis\ISIC_0067712.jpg,assets\bcn_20000_data\ISIC_0067712.jpg,ISIC_0067712,ISIC_0067712
average_hash,000070f8fcbfff7f,1,1,assets\ISIC_2019_Test_Organized\melanoma\ISIC_0054092.jpg,assets\bcn_20000_data\ISIC_0054092.jpg,ISIC_0054092,ISIC_0054092
average_hash,00007cfc79fc3c30,1,1,assets\ISIC_2019_Test_Organized\squamous cell carcinoma\ISIC_0070497.jpg,assets\bcn_20000_data\ISIC_0070497.jpg,ISIC_0070497,ISIC_0070497
average_hash,0000808016ffffff,1,1,assets\ISIC_2019_Test_Organized\squamous cell carcinoma\ISIC_0061122.jpg,assets\bcn_20000_data\ISIC_0061122.jpg,ISIC_0061122,ISIC_0061122
