hash_type,hash_value,dataset,image_count,sample_paths,sample_image_ids
average_hash,00000001071f7fff,BCN20000,2,assets\bcn_20000_data\ISIC_0053812.jpg;assets\bcn_20000_data\ISIC_0071101.jpg,ISIC_0053812;ISIC_0071101
average_hash,0000030f1f3f7f7e,BCN20000,2,assets\bcn_20000_data\ISIC_0056728.jpg;assets\bcn_20000_data\ISIC_0068343.jpg,ISIC_0056728;ISIC_0068343
average_hash,00003c7c7e3c1800,BCN20000,3,assets\bcn_20000_data\ISIC_0055641.jpg;assets\bcn_20000_data\ISIC_0056265.jpg;assets\bcn_20000_data\ISIC_0065089.jpg,ISIC_0055641;ISIC_0056265;ISIC_0065089
average_hash,00003c7e7e3c1800,BCN20000,20,assets\bcn_20000_data\ISIC_0054484.jpg;assets\bcn_20000_data\ISIC_0055206.jpg;assets\bcn_20000_data\ISIC_0056460.jpg;assets\bcn_20000_data\ISIC_0057409.jpg;assets\bcn_20000_data\ISIC_0058850.jpg;assets\bcn_20000_data\ISIC_0058986.jpg;assets\bcn_20000_data\ISIC_0060032.jpg;assets\bcn_20000_data\ISIC_0060977.jpg;assets\bcn_20000_data\ISIC_0061016.jpg;assets\bcn_20000_data\ISIC_0061548.jpg,ISIC_0054484;ISIC_0055206;ISIC_0056460;ISIC_0057409;ISIC_0058850;ISIC_0058986;ISIC_0060032;ISIC_0060977;ISIC_0061016;ISIC_0061548
average_hash,00007e7e7e7e3c00,BCN20000,2,assets\bcn_20000_data\ISIC_0055643.jpg;assets\bcn_20000_data\ISIC_0065417.jpg,ISIC_0055643;ISIC_0065417
average_hash,00083c3e7e3c1800,BCN20000,2,assets\bcn_20000_data\ISIC_0066589.jpg;assets\bcn_20000_data\ISIC_0073154.jpg,ISIC_0066589;ISIC_0073154
average_hash,00083c7e7e3c1800,BCN20000,17,assets\bcn_20000_data\ISIC_0054192.jpg;assets\bcn_20000_data\ISIC_0054379.jpg;assets\bcn_20000_data\ISIC_0054512.jpg;assets\bcn_20000_data\ISIC_0056190.jpg;assets\bcn_20000_data\ISIC_0056919.jpg;assets\bcn_20000_data\ISIC_0057673.jpg;assets\bcn_20000_data\ISIC_0059315.jpg;assets\bcn_20000_data\ISIC_0059568.jpg;assets\bcn_20000_data\ISIC_0060105.jpg;assets\bcn_20000_data\ISIC_0063837.jpg,ISIC_0054192;ISIC_0054379;ISIC_0054512;ISIC_0056190;ISIC_0056919;ISIC_0057673;ISIC_0059315;ISIC_0059568;ISIC_0060105;ISIC_0063837
average_hash,00103c7c7e3c1800,BCN20000,2,assets\bcn_20000_data\ISIC_0058071.jpg;assets\bcn_20000_data\ISIC_0061739.jpg,ISIC_0058071;ISIC_0061739
average_hash,00103c7e7e3c1800,BCN20000,19,assets\bcn_20000_data\ISIC_0054464.jpg;assets\bcn_20000_data\ISIC_0054975.jpg;assets\bcn_20000_data\ISIC_0055057.jpg;assets\bcn_20000_data\ISIC_0057890.jpg;assets\bcn_20000_data\ISIC_0058036.jpg;assets\bcn_20000_data\ISIC_0058126.jpg;assets\bcn_20000_data\ISIC_0058137.jpg;assets\bcn_20000_data\ISIC_0059276.jpg;assets\bcn_20000_data\ISIC_0061619.jpg;assets\bcn_20000_data\ISIC_0062285.jpg,ISIC_0054464;ISIC_0054975;ISIC_0055057;ISIC_0057890;ISIC_0058036;ISIC_0058126;ISIC_0058137;ISIC_0059276;ISIC_0061619;ISIC_0062285
average_hash,00183c3c7e3c1800,BCN20000,2,assets\bcn_20000_data\ISIC_0057218.jpg;assets\bcn_20000_data\ISIC_0070089.jpg,ISIC_0057218;ISIC_0070089
average_hash,00183c3e3e3c0800,BCN20000,3,assets\bcn_20000_data\ISIC_0054298.jpg;assets\bcn_20000_data\ISIC_0070350.jpg;assets\bcn_20000_data\ISIC_0071151.jpg,ISIC_0054298;ISIC_0070350;ISIC_0071151
average_hash,00183c3e3e3c1800,BCN20000,14,assets\bcn_20000_data\ISIC_0057350.jpg;assets\bcn_20000_data\ISIC_0058250.jpg;assets\bcn_20000_data\ISIC_0058606.jpg;assets\bcn_20000_data\ISIC_0060003.jpg;assets\bcn_20000_data\ISIC_0060275.jpg;assets\bcn_20000_data\ISIC_0062628.jpg;assets\bcn_20000_data\ISIC_0063576.jpg;assets\bcn_20000_data\ISIC_0063630.jpg;assets\bcn_20000_data\ISIC_0063797.jpg;assets\bcn_20000_data\ISIC_0064549.jpg,ISIC_0057350;ISIC_0058250;ISIC_0058606;ISIC_0060003;ISIC_0060275;ISIC_0062628;ISIC_0063576;ISIC_0063630;ISIC_0063797;ISIC_0064549
average_hash,00183c3e3e3e1c00,BCN20000,2,assets\bcn_20000_data\ISIC_0055938.jpg;assets\bcn_20000_data\ISIC_0066390.jpg,ISIC_0055938;ISIC_0066390
average_hash,00183c3e7e3c1800,BCN20000,13,assets\bcn_20000_data\ISIC_0054106.jpg;assets\bcn_20000_data\ISIC_0055951.jpg;assets\bcn_20000_data\ISIC_0056322.jpg;assets\bcn_20000_data\ISIC_0056696.jpg;assets\bcn_20000_data\ISIC_0061770.jpg;assets\bcn_20000_data\ISIC_0062738.jpg;assets\bcn_20000_data\ISIC_0063231.jpg;assets\bcn_20000_data\ISIC_0064286.jpg;assets\bcn_20000_data\ISIC_0068287.jpg;assets\bcn_20000_data\ISIC_0068443.jpg,ISIC_0054106;ISIC_0055951;ISIC_0056322;ISIC_0056696;ISIC_0061770;ISIC_0062738;ISIC_0063231;ISIC_0064286;ISIC_0068287;ISIC_0068443
average_hash,00183c6e7e3c1800,BCN20000,7,assets\bcn_20000_data\ISIC_0055711.jpg;assets\bcn_20000_data\ISIC_0056138.jpg;assets\bcn_20000_data\ISIC_0057661.jpg;assets\bcn_20000_data\ISIC_0060728.jpg;assets\bcn_20000_data\ISIC_0063565.jpg;assets\bcn_20000_data\ISIC_0070501.jpg;assets\bcn_20000_data\ISIC_0071550.jpg,ISIC_0055711;ISIC_0056138;ISIC_0057661;ISIC_0060728;ISIC_0063565;ISIC_0070501;ISIC_0071550
average_hash,00183c767e3c1800,BCN20000,2,assets\bcn_20000_data\ISIC_0060018.jpg;assets\bcn_20000_data\ISIC_0071857.jpg,ISIC_0060018;ISIC_0071857
average_hash,00183c7c7c3c0000,BCN20000,2,assets\bcn_20000_data\ISIC_0058489.jpg;assets\bcn_20000_data\ISIC_0060268.jpg,ISIC_0058489;ISIC_0060268
average_hash,00183c7c7c3c1800,BCN20000,12,assets\bcn_20000_data\ISIC_0054548.jpg;assets\bcn_20000_data\ISIC_0054710.jpg;assets\bcn_20000_data\ISIC_0055002.jpg;assets\bcn_20000_data\ISIC_0056175.jpg;assets\bcn_20000_data\ISIC_0059897.jpg;assets\bcn_20000_data\ISIC_0062155.jpg;assets\bcn_20000_data\ISIC_0063223.jpg;assets\bcn_20000_data\ISIC_0064363.jpg;assets\bcn_20000_data\ISIC_0064535.jpg;assets\bcn_20000_data\ISIC_0065763.jpg,ISIC_0054548;ISIC_0054710;ISIC_0055002;ISIC_0056175;ISIC_0059897;ISIC_0062155;ISIC_0063223;ISIC_0064363;ISIC_0064535;ISIC_0065763
average_hash,00183c7c7c3c3800,BCN20000,2,assets\bcn_20000_data\ISIC_0067756.jpg;assets\bcn_20000_data\ISIC_0068080.jpg,ISIC_0067756;ISIC_0068080
average_hash,00183c7c7c7c3800,BCN20000,2,assets\bcn_20000_data\ISIC_0064266.jpg;assets\bcn_20000_data\ISIC_0066666.jpg,ISIC_0064266;ISIC_0066666
average_hash,00183c7c7e3c1800,BCN20000,9,assets\bcn_20000_data\ISIC_0063836.jpg;assets\bcn_20000_data\ISIC_0064961.jpg;assets\bcn_20000_data\ISIC_0067087.jpg;assets\bcn_20000_data\ISIC_0068190.jpg;assets\bcn_20000_data\ISIC_0068545.jpg;assets\bcn_20000_data\ISIC_0068881.jpg;assets\bcn_20000_data\ISIC_0071319.jpg;assets\bcn_20000_data\ISIC_0072262.jpg;assets\bcn_20000_data\ISIC_0072302.jpg,ISIC_0063836;ISIC_0064961;ISIC_0067087;ISIC_0068190;ISIC_0068545;ISIC_0068881;ISIC_0071319;ISIC_0072262;ISIC_0072302
average_hash,00183c7e3e3c0800,BCN20000,3,assets\bcn_20000_data\ISIC_0056312.jpg;assets\bcn_20000_data\ISIC_0065816.jpg;assets\bcn_20000_data\ISIC_0065844.jpg,ISIC_0056312;ISIC_0065816;ISIC_0065844
average_hash,00183c7e3e3c1800,BCN20000,11,assets\bcn_20000_data\ISIC_0054611.jpg;assets\bcn_20000_data\ISIC_0055900.jpg;assets\bcn_20000_data\ISIC_0056066.jpg;assets\bcn_20000_data\ISIC_0056797.jpg;assets\bcn_20000_data\ISIC_0058644.jpg;assets\bcn_20000_data\ISIC_0059874.jpg;assets\bcn_20000_data\ISIC_0063869.jpg;assets\bcn_20000_data\ISIC_0064359.jpg;assets\bcn_20000_data\ISIC_0065556.jpg;assets\bcn_20000_data\ISIC_0066629.jpg,ISIC_0054611;ISIC_0055900;ISIC_0056066;ISIC_0056797;ISIC_0058644;ISIC_0059874;ISIC_0063869;ISIC_0064359;ISIC_0065556;ISIC_0066629
average_hash,00183c7e6e3c1800,BCN20000,6,assets\bcn_20000_data\ISIC_0057235.jpg;assets\bcn_20000_data\ISIC_0066366.jpg;assets\bcn_20000_data\ISIC_0069527.jpg;assets\bcn_20000_data\ISIC_0071992.jpg;assets\bcn_20000_data\ISIC_0072522.jpg;assets\bcn_20000_data\ISIC_0073156.jpg,ISIC_0057235;ISIC_0066366;ISIC_0069527;ISIC_0071992;ISIC_0072522;ISIC_0073156
average_hash,00183c7e763c1800,BCN20000,2,assets\bcn_20000_data\ISIC_0055151.jpg;assets\bcn_20000_data\ISIC_0062575.jpg,ISIC_0055151;ISIC_0062575
average_hash,00183c7e7c3c1800,BCN20000,10,assets\bcn_20000_data\ISIC_0054117.jpg;assets\bcn_20000_data\ISIC_0054577.jpg;assets\bcn_20000_data\ISIC_0054870.jpg;assets\bcn_20000_data\ISIC_0058086.jpg;assets\bcn_20000_data\ISIC_0060440.jpg;assets\bcn_20000_data\ISIC_0061485.jpg;assets\bcn_20000_data\ISIC_0061490.jpg;assets\bcn_20000_data\ISIC_0062122.jpg;assets\bcn_20000_data\ISIC_0066808.jpg;assets\bcn_20000_data\ISIC_0071801.jpg,ISIC_0054117;ISIC_0054577;ISIC_0054870;ISIC_0058086;ISIC_0060440;ISIC_0061485;ISIC_0061490;ISIC_0062122;ISIC_0066808;ISIC_0071801
average_hash,00183c7e7e3c0000,BCN20000,7,assets\bcn_20000_data\ISIC_0055585.jpg;assets\bcn_20000_data\ISIC_0056219.jpg;assets\bcn_20000_data\ISIC_0058527.jpg;assets\bcn_20000_data\ISIC_0058721.jpg;assets\bcn_20000_data\ISIC_0066066.jpg;assets\bcn_20000_data\ISIC_0071103.jpg;assets\bcn_20000_data\ISIC_0071267.jpg,ISIC_0055585;ISIC_0056219;ISIC_0058527;ISIC_0058721;ISIC_0066066;ISIC_0071103;ISIC_0071267
average_hash,00183c7e7e3c0800,BCN20000,5,assets\bcn_20000_data\ISIC_0056806.jpg;assets\bcn_20000_data\ISIC_0066347.jpg;assets\bcn_20000_data\ISIC_0067557.jpg;assets\bcn_20000_data\ISIC_0067730.jpg;assets\bcn_20000_data\ISIC_0069810.jpg,ISIC_0056806;ISIC_0066347;ISIC_0067557;ISIC_0067730;ISIC_0069810
average_hash,00183c7e7e3c1000,BCN20000,8,assets\bcn_20000_data\ISIC_0057251.jpg;assets\bcn_20000_data\ISIC_0057747.jpg;assets\bcn_20000_data\ISIC_0061004.jpg;assets\bcn_20000_data\ISIC_0061466.jpg;assets\bcn_20000_data\ISIC_0064886.jpg;assets\bcn_20000_data\ISIC_0070085.jpg;assets\bcn_20000_data\ISIC_0070220.jpg;assets\bcn_20000_data\ISIC_0070975.jpg,ISIC_0057251;ISIC_0057747;ISIC_0061004;ISIC_0061466;ISIC_0064886;ISIC_0070085;ISIC_0070220;ISIC_0070975
