Method,alpha,Coverage,Avg Size,Coverage Equity Gap,# Below Target,Coverage CI Low,Coverage CI High
standard_cp,0.05,0.9976237299246149,2.0676007866273354,0.005335920757862822,0,0.9967223861029171,0.9984431333988856
aps,0.05,0.998852835136021,3.6260242543428385,0.001100958304952493,0,0.9982772041953458,0.9994264175680105
raps,0.05,0.9984431333988856,3.164782038675844,0.0015764694794651035,0,0.9977036217633563,0.9990986561783022
mondrian_cp,0.05,0.9956571615863651,2.56383153064569,-0.003891909027429752,0,0.9945079482137005,0.9967223861029171
classwise_cp,0.05,0.9956571615863651,2.56383153064569,-0.003891909027429752,0,0.9945079482137005,0.9967223861029171
clustered_cp,0.05,0.99664044575549,2.4489511635529335,-0.0014542247116858809,0,0.995575221238938,0.9976237299246149
rc3p,0.05,0.99664044575549,2.4489511635529335,-0.0014542247116858809,0,0.995575221238938,0.9976237299246149
standard_cp,0.1,0.9933628318584071,1.3954441166830547,0.013855229848271144,0,0.9918879056047197,0.9946738774172402
aps,0.1,0.99664044575549,2.7775319567354964,0.0024227252676063404,0,0.9956571615863651,0.9976237299246149
raps,0.1,0.9960668633235005,2.4664044575549,0.005248101126533844,0,0.9948377581120944,0.9972140281874795
mondrian_cp,0.1,0.9912323828253031,1.8747951491314323,-0.005363080668670639,0,0.9895116355293346,0.9927892494264176
classwise_cp,0.1,0.9912323828253031,1.8747951491314323,-0.005363080668670639,0,0.9895116355293346,0.9927892494264176
clustered_cp,0.1,0.9927073090789905,1.6867420517862997,-0.0015589912725698651,0,0.9911504424778761,0.9941002949852508
rc3p,0.1,0.9927073090789905,1.6867420517862997,-0.0015589912725698651,0,0.9911504424778761,0.9941002949852508
standard_cp,0.2,0.9839396919042936,1.081858407079646,0.035192710208760025,0,0.9816453621763356,0.9860701409373975
aps,0.2,0.9927892494264176,2.0218780727630286,0.003436634245279402,0,0.9913143231727303,0.9941822353326778
raps,0.2,0.9920517862995739,1.9138806948541462,0.008414542529524227,0,0.9904949196984595,0.9935267125532612
mondrian_cp,0.2,0.9777941658472632,1.299328089151098,-0.025677072146340296,0,0.9751700262209112,0.9803343166175025
classwise_cp,0.2,0.9777941658472632,1.299328089151098,-0.025677072146340296,0,0.9751700262209112,0.9803343166175025
clustered_cp,0.2,0.9824647656506064,1.1798590626024255,-0.005080155686371102,0,0.9802503277613897,0.9845153228449689
rc3p,0.2,0.9824647656506064,1.1798590626024255,-0.005080155686371102,0,0.9802503277613897,0.9845153228449689
