Method,alpha,Coverage,Avg Size,Coverage Equity Gap,# Below Target,Coverage CI Low,Coverage CI High
standard_cp,0.05,0.997624,2.067601,0.005336,0,0.996722,0.998443
aps,0.05,0.998853,3.626024,0.001101,0,0.998277,0.999426
raps,0.05,0.998443,3.164782,0.001576,0,0.997704,0.999099
mondrian_cp,0.05,0.995657,2.563832,-0.003892,0,0.994508,0.996722
classwise_cp,0.05,0.995657,2.563832,-0.003892,0,0.994508,0.996722
clustered_cp,0.05,0.99664,2.448951,-0.001454,0,0.995575,0.997624
rc3p,0.05,0.99664,2.448951,-0.001454,0,0.995575,0.997624
standard_cp,0.1,0.993363,1.395444,0.013855,0,0.991888,0.994674
aps,0.1,0.99664,2.777532,0.002423,0,0.995657,0.997624
raps,0.1,0.996067,2.466404,0.005248,0,0.994838,0.997214
mondrian_cp,0.1,0.991232,1.874795,-0.005363,0,0.989512,0.992789
classwise_cp,0.1,0.991232,1.874795,-0.005363,0,0.989512,0.992789
clustered_cp,0.1,0.992707,1.686742,-0.001559,0,0.99115,0.9941
rc3p,0.1,0.992707,1.686742,-0.001559,0,0.99115,0.9941
standard_cp,0.2,0.98394,1.081858,0.035193,0,0.981645,0.98607
aps,0.2,0.992789,2.021878,0.003437,0,0.991314,0.994182
raps,0.2,0.992052,1.913881,0.008415,0,0.990495,0.993527
mondrian_cp,0.2,0.977794,1.299328,-0.025677,0,0.97517,0.980334
classwise_cp,0.2,0.977794,1.299328,-0.025677,0,0.97517,0.980334
clustered_cp,0.2,0.982465,1.179859,-0.00508,0,0.98025,0.984515
rc3p,0.2,0.982465,1.179859,-0.00508,0,0.98025,0.984515
