Method,alpha,target_coverage,class_name,count,covered,coverage_rate,avg_set_size
standard_cp,0.05,0.95,AK,737,733,0.994573,2.179104
standard_cp,0.05,0.95,BCC,2809,2805,0.998576,2.326807
standard_cp,0.05,0.95,BKL,929,924,0.994618,2.221744
standard_cp,0.05,0.95,DF,124,123,0.991935,2.112903
standard_cp,0.05,0.95,MEL,2857,2853,0.9986,1.785789
standard_cp,0.05,0.95,NV,4206,4198,0.998098,2.062767
standard_cp,0.05,0.95,SCC,431,429,0.99536,1.930394
standard_cp,0.05,0.95,VASC,111,110,0.990991,1.396396
aps,0.05,0.95,AK,737,736,0.998643,3.367707
aps,0.05,0.95,BCC,2809,2808,0.999644,4.714133
aps,0.05,0.95,BKL,929,928,0.998924,3.912809
aps,0.05,0.95,DF,124,124,1.0,3.16129
aps,0.05,0.95,MEL,2857,2855,0.9993,2.940847
aps,0.05,0.95,NV,4206,4198,0.998098,3.460533
aps,0.05,0.95,SCC,431,431,1.0,3.143852
aps,0.05,0.95,VASC,111,110,0.990991,1.702703
raps,0.05,0.95,AK,737,733,0.994573,3.093623
raps,0.05,0.95,BCC,2809,2806,0.998932,3.487718
raps,0.05,0.95,BKL,929,926,0.996771,3.280947
raps,0.05,0.95,DF,124,124,1.0,2.830645
raps,0.05,0.95,MEL,2857,2855,0.9993,2.955898
raps,0.05,0.95,NV,4206,4200,0.998573,3.136947
raps,0.05,0.95,SCC,431,431,1.0,2.986079
raps,0.05,0.95,VASC,111,110,0.990991,1.990991
mondrian_cp,0.05,0.95,AK,737,736,0.998643,2.394844
mondrian_cp,0.05,0.95,BCC,2809,2798,0.996084,3.385902
mondrian_cp,0.05,0.95,BKL,929,927,0.997847,2.447793
mondrian_cp,0.05,0.95,DF,124,124,1.0,2.435484
mondrian_cp,0.05,0.95,MEL,2857,2848,0.99685,2.143857
mondrian_cp,0.05,0.95,NV,4206,4177,0.993105,2.420114
mondrian_cp,0.05,0.95,SCC,431,431,1.0,2.257541
mondrian_cp,0.05,0.95,VASC,111,110,0.990991,1.441441
classwise_cp,0.05,0.95,AK,737,736,0.998643,2.394844
classwise_cp,0.05,0.95,BCC,2809,2798,0.996084,3.385902
classwise_cp,0.05,0.95,BKL,929,927,0.997847,2.447793
classwise_cp,0.05,0.95,DF,124,124,1.0,2.435484
classwise_cp,0.05,0.95,MEL,2857,2848,0.99685,2.143857
classwise_cp,0.05,0.95,NV,4206,4177,0.993105,2.420114
classwise_cp,0.05,0.95,SCC,431,431,1.0,2.257541
classwise_cp,0.05,0.95,VASC,111,110,0.990991,1.441441
clustered_cp,0.05,0.95,AK,737,736,0.998643,2.554953
clustered_cp,0.05,0.95,BCC,2809,2807,0.999288,3.025632
clustered_cp,0.05,0.95,BKL,929,927,0.997847,2.499462
clustered_cp,0.05,0.95,DF,124,124,1.0,2.419355
clustered_cp,0.05,0.95,MEL,2857,2845,0.9958,2.147707
clustered_cp,0.05,0.95,NV,4206,4184,0.994769,2.279838
clustered_cp,0.05,0.95,SCC,431,430,0.99768,2.310905
clustered_cp,0.05,0.95,VASC,111,110,0.990991,1.459459
rc3p,0.05,0.95,AK,737,736,0.998643,2.554953
rc3p,0.05,0.95,BCC,2809,2807,0.999288,3.025632
rc3p,0.05,0.95,BKL,929,927,0.997847,2.499462
rc3p,0.05,0.95,DF,124,124,1.0,2.419355
rc3p,0.05,0.95,MEL,2857,2845,0.9958,2.147707
rc3p,0.05,0.95,NV,4206,4184,0.994769,2.279838
rc3p,0.05,0.95,SCC,431,430,0.99768,2.310905
rc3p,0.05,0.95,VASC,111,110,0.990991,1.459459
standard_cp,0.1,0.9,AK,737,728,0.987788,1.468114
standard_cp,0.1,0.9,BCC,2809,2799,0.99644,1.398362
standard_cp,0.1,0.9,BKL,929,918,0.988159,1.447793
standard_cp,0.1,0.9,DF,124,122,0.983871,1.564516
standard_cp,0.1,0.9,MEL,2857,2843,0.9951,1.326566
standard_cp,0.1,0.9,NV,4206,4181,0.994056,1.423205
standard_cp,0.1,0.9,SCC,431,424,0.983759,1.327146
standard_cp,0.1,0.9,VASC,111,108,0.972973,1.198198
aps,0.1,0.9,AK,737,734,0.995929,2.662144
aps,0.1,0.9,BCC,2809,2807,0.999288,3.723745
aps,0.1,0.9,BKL,929,926,0.996771,3.065662
aps,0.1,0.9,DF,124,123,0.991935,2.580645
aps,0.1,0.9,MEL,2857,2844,0.99545,2.213511
aps,0.1,0.9,NV,4206,4189,0.995958,2.561103
aps,0.1,0.9,SCC,431,430,0.99768,2.431555
aps,0.1,0.9,VASC,111,110,0.990991,1.468468
raps,0.1,0.9,AK,737,733,0.994573,2.41384
raps,0.1,0.9,BCC,2809,2805,0.998576,3.091848
raps,0.1,0.9,BKL,929,923,0.993541,2.652314
raps,0.1,0.9,DF,124,123,0.991935,2.298387
raps,0.1,0.9,MEL,2857,2849,0.9972,2.070004
raps,0.1,0.9,NV,4206,4185,0.995007,2.343795
raps,0.1,0.9,SCC,431,429,0.99536,2.220418
raps,0.1,0.9,VASC,111,109,0.981982,1.423423
mondrian_cp,0.1,0.9,AK,737,736,0.998643,1.824966
mondrian_cp,0.1,0.9,BCC,2809,2786,0.991812,2.39587
mondrian_cp,0.1,0.9,BKL,929,925,0.995694,1.87944
mondrian_cp,0.1,0.9,DF,124,123,0.991935,1.895161
mondrian_cp,0.1,0.9,MEL,2857,2835,0.9923,1.60798
mondrian_cp,0.1,0.9,NV,4206,4153,0.987399,1.739895
mondrian_cp,0.1,0.9,SCC,431,429,0.99536,1.784223
mondrian_cp,0.1,0.9,VASC,111,110,0.990991,1.288288
classwise_cp,0.1,0.9,AK,737,736,0.998643,1.824966
classwise_cp,0.1,0.9,BCC,2809,2786,0.991812,2.39587
classwise_cp,0.1,0.9,BKL,929,925,0.995694,1.87944
classwise_cp,0.1,0.9,DF,124,123,0.991935,1.895161
classwise_cp,0.1,0.9,MEL,2857,2835,0.9923,1.60798
classwise_cp,0.1,0.9,NV,4206,4153,0.987399,1.739895
classwise_cp,0.1,0.9,SCC,431,429,0.99536,1.784223
classwise_cp,0.1,0.9,VASC,111,110,0.990991,1.288288
clustered_cp,0.1,0.9,AK,737,733,0.994573,1.902307
clustered_cp,0.1,0.9,BCC,2809,2804,0.99822,2.003916
clustered_cp,0.1,0.9,BKL,929,924,0.994618,1.765339
clustered_cp,0.1,0.9,DF,124,123,0.991935,1.806452
clustered_cp,0.1,0.9,MEL,2857,2823,0.988099,1.529576
clustered_cp,0.1,0.9,NV,4206,4169,0.991203,1.530433
clustered_cp,0.1,0.9,SCC,431,429,0.99536,1.712297
clustered_cp,0.1,0.9,VASC,111,110,0.990991,1.306306
rc3p,0.1,0.9,AK,737,733,0.994573,1.902307
rc3p,0.1,0.9,BCC,2809,2804,0.99822,2.003916
rc3p,0.1,0.9,BKL,929,924,0.994618,1.765339
rc3p,0.1,0.9,DF,124,123,0.991935,1.806452
rc3p,0.1,0.9,MEL,2857,2823,0.988099,1.529576
rc3p,0.1,0.9,NV,4206,4169,0.991203,1.530433
rc3p,0.1,0.9,SCC,431,429,0.99536,1.712297
rc3p,0.1,0.9,VASC,111,110,0.990991,1.306306
standard_cp,0.2,0.8,AK,737,714,0.968792,1.103121
standard_cp,0.2,0.8,BCC,2809,2784,0.9911,1.069064
standard_cp,0.2,0.8,BKL,929,902,0.970936,1.104413
standard_cp,0.2,0.8,DF,124,116,0.935484,1.096774
standard_cp,0.2,0.8,MEL,2857,2809,0.983199,1.080504
standard_cp,0.2,0.8,NV,4206,4161,0.989301,1.082977
standard_cp,0.2,0.8,SCC,431,415,0.962877,1.081206
standard_cp,0.2,0.8,VASC,111,107,0.963964,1.054054
aps,0.2,0.8,AK,737,730,0.990502,2.044776
aps,0.2,0.8,BCC,2809,2806,0.998932,2.658953
aps,0.2,0.8,BKL,929,922,0.992465,2.26803
aps,0.2,0.8,DF,124,123,0.991935,2.024194
aps,0.2,0.8,MEL,2857,2823,0.988099,1.655233
aps,0.2,0.8,NV,4206,4177,0.993105,1.824774
aps,0.2,0.8,SCC,431,425,0.986079,1.837587
aps,0.2,0.8,VASC,111,110,0.990991,1.306306
raps,0.2,0.8,AK,737,729,0.989145,1.924016
raps,0.2,0.8,BCC,2809,2804,0.99822,2.44927
raps,0.2,0.8,BKL,929,921,0.991389,2.113025
raps,0.2,0.8,DF,124,122,0.983871,1.903226
raps,0.2,0.8,MEL,2857,2823,0.988099,1.60273
raps,0.2,0.8,NV,4206,4174,0.992392,1.754161
raps,0.2,0.8,SCC,431,425,0.986079,1.767981
raps,0.2,0.8,VASC,111,109,0.981982,1.27027
mondrian_cp,0.2,0.8,AK,737,733,0.994573,1.347354
mondrian_cp,0.2,0.8,BCC,2809,2757,0.981488,1.501958
mondrian_cp,0.2,0.8,BKL,929,920,0.990312,1.346609
mondrian_cp,0.2,0.8,DF,124,122,0.983871,1.403226
mondrian_cp,0.2,0.8,MEL,2857,2810,0.983549,1.20301
mondrian_cp,0.2,0.8,NV,4206,4053,0.963623,1.204232
mondrian_cp,0.2,0.8,SCC,431,428,0.993039,1.366589
mondrian_cp,0.2,0.8,VASC,111,110,0.990991,1.162162
classwise_cp,0.2,0.8,AK,737,733,0.994573,1.347354
classwise_cp,0.2,0.8,BCC,2809,2757,0.981488,1.501958
classwise_cp,0.2,0.8,BKL,929,920,0.990312,1.346609
classwise_cp,0.2,0.8,DF,124,122,0.983871,1.403226
classwise_cp,0.2,0.8,MEL,2857,2810,0.983549,1.20301
classwise_cp,0.2,0.8,NV,4206,4053,0.963623,1.204232
classwise_cp,0.2,0.8,SCC,431,428,0.993039,1.366589
classwise_cp,0.2,0.8,VASC,111,110,0.990991,1.162162
clustered_cp,0.2,0.8,AK,737,724,0.982361,1.310719
clustered_cp,0.2,0.8,BCC,2809,2796,0.995372,1.275543
clustered_cp,0.2,0.8,BKL,929,916,0.986006,1.221744
clustered_cp,0.2,0.8,DF,124,122,0.983871,1.314516
clustered_cp,0.2,0.8,MEL,2857,2768,0.968848,1.127406
clustered_cp,0.2,0.8,NV,4206,4127,0.981217,1.113647
clustered_cp,0.2,0.8,SCC,431,428,0.993039,1.211137
clustered_cp,0.2,0.8,VASC,111,109,0.981982,1.126126
rc3p,0.2,0.8,AK,737,724,0.982361,1.310719
rc3p,0.2,0.8,BCC,2809,2796,0.995372,1.275543
rc3p,0.2,0.8,BKL,929,916,0.986006,1.221744
rc3p,0.2,0.8,DF,124,122,0.983871,1.314516
rc3p,0.2,0.8,MEL,2857,2768,0.968848,1.127406
rc3p,0.2,0.8,NV,4206,4127,0.981217,1.113647
rc3p,0.2,0.8,SCC,431,428,0.993039,1.211137
rc3p,0.2,0.8,VASC,111,109,0.981982,1.126126
