Method,alpha,Coverage,Avg Size,Coverage Equity Gap,# Below Target,Coverage CI Low,Coverage CI High
standard_cp,0.05,0.9560723514211886,2.988372093023256,0.09815793700973752,5,0.9492894056847545,0.9628552971576227
aps,0.05,0.9738372093023255,4.46673126614987,0.06939598150950022,3,0.9686692506459949,0.979328165374677
raps,0.05,0.9599483204134367,3.587532299741602,0.08716014251925552,5,0.9528423772609819,0.9664082687338501
mondrian_cp,0.05,0.9483204134366925,3.531330749354005,0.011021813587511975,3,0.9405684754521964,0.9557493540051679
classwise_cp,0.05,0.9483204134366925,3.531330749354005,0.011021813587511975,3,0.9405684754521964,0.9557493540051679
clustered_cp,0.05,0.9525193798449613,3.4799741602067185,0.0325652871337575,5,0.9444444444444444,0.9599483204134367
rc3p,0.05,0.9525193798449613,3.4799741602067185,0.0325652871337575,5,0.9444444444444444,0.9599483204134367
standard_cp,0.1,0.899547803617571,2.041989664082687,0.1899547103042054,5,0.8898578811369509,0.9095607235142119
aps,0.1,0.9525193798449613,3.66828165374677,0.0732989042619605,2,0.9454134366925064,0.959625322997416
raps,0.1,0.938953488372093,3.0513565891472867,0.11134017387022965,5,0.9302244832041343,0.9470364987080104
mondrian_cp,0.1,0.9069767441860465,2.673449612403101,0.018899164220371523,4,0.8972868217054264,0.9166747416020672
classwise_cp,0.1,0.9069767441860465,2.673449612403101,0.018899164220371523,4,0.8972868217054264,0.9166747416020672
clustered_cp,0.1,0.9027777777777778,2.501937984496124,0.04083174289109048,4,0.8930797803617571,0.9121447028423773
rc3p,0.1,0.9027777777777778,2.501937984496124,0.04083174289109048,4,0.8930797803617571,0.9121447028423773
standard_cp,0.2,0.8003875968992248,1.309108527131783,0.4066690838670415,6,0.7861757105943152,0.8139615633074936
aps,0.2,0.9218346253229974,2.862403100775194,0.1041653021865746,2,0.9131056201550387,0.9312015503875969
raps,0.2,0.9108527131782945,2.5733204134366927,0.11976127778368162,2,0.9018007105943152,0.9202277131782947
mondrian_cp,0.2,0.8078165374677002,1.7406330749354004,0.0015385495251694081,3,0.7942425710594315,0.8210594315245479
classwise_cp,0.2,0.8078165374677002,1.7406330749354004,0.0015385495251694081,3,0.7942425710594315,0.8210594315245479
clustered_cp,0.2,0.8016795865633075,1.5549095607235142,0.05614504281090793,4,0.7877906976744186,0.8152535529715763
rc3p,0.2,0.8016795865633075,1.5549095607235142,0.05614504281090793,4,0.7877906976744186,0.8152535529715763
