Method,alpha,metric,estimate,ci_low,ci_high,confidence,n_bootstrap
standard_cp,0.05,coverage,0.956072,0.949289,0.962855,0.95,1000
standard_cp,0.05,average_set_size,2.988372,2.9341,3.050735,0.95,1000
standard_cp,0.05,coverage_equity_gap,0.098158,0.049987,0.152599,0.95,1000
aps,0.05,coverage,0.973837,0.968669,0.979328,0.95,1000
aps,0.05,average_set_size,4.466731,4.404708,4.530055,0.95,1000
aps,0.05,coverage_equity_gap,0.069396,0.023654,0.117574,0.95,1000
raps,0.05,coverage,0.959948,0.952842,0.966408,0.95,1000
raps,0.05,average_set_size,3.587532,3.556525,3.617264,0.95,1000
raps,0.05,coverage_equity_gap,0.08716,0.039373,0.1383,0.95,1000
mondrian_cp,0.05,coverage,0.94832,0.940568,0.955749,0.95,1000
mondrian_cp,0.05,average_set_size,3.531331,3.471899,3.600775,0.95,1000
mondrian_cp,0.05,coverage_equity_gap,0.011022,-0.027824,0.05051,0.95,1000
frequency_grouped_cp,0.05,coverage,0.952519,0.944444,0.959948,0.95,1000
frequency_grouped_cp,0.05,average_set_size,3.479974,3.41535,3.546197,0.95,1000
frequency_grouped_cp,0.05,coverage_equity_gap,0.032565,-0.005523,0.070502,0.95,1000
standard_cp,0.1,coverage,0.899548,0.889858,0.909561,0.95,1000
standard_cp,0.1,average_set_size,2.04199,2.001599,2.083995,0.95,1000
standard_cp,0.1,coverage_equity_gap,0.189955,0.125455,0.260236,0.95,1000
aps,0.1,coverage,0.952519,0.945413,0.959625,0.95,1000
aps,0.1,average_set_size,3.668282,3.606242,3.730329,0.95,1000
aps,0.1,coverage_equity_gap,0.073299,0.025108,0.124262,0.95,1000
raps,0.1,coverage,0.938953,0.930224,0.947036,0.95,1000
raps,0.1,average_set_size,3.051357,3.009997,3.094985,0.95,1000
raps,0.1,coverage_equity_gap,0.11134,0.055548,0.167625,0.95,1000
mondrian_cp,0.1,coverage,0.906977,0.897287,0.916675,0.95,1000
mondrian_cp,0.1,average_set_size,2.67345,2.624023,2.728367,0.95,1000
mondrian_cp,0.1,coverage_equity_gap,0.018899,-0.02875,0.07381,0.95,1000
frequency_grouped_cp,0.1,coverage,0.902778,0.89308,0.912145,0.95,1000
frequency_grouped_cp,0.1,average_set_size,2.501938,2.452519,2.560724,0.95,1000
frequency_grouped_cp,0.1,coverage_equity_gap,0.040832,-0.005249,0.09081,0.95,1000
standard_cp,0.2,coverage,0.800388,0.786176,0.813962,0.95,1000
standard_cp,0.2,average_set_size,1.309109,1.291013,1.328811,0.95,1000
standard_cp,0.2,coverage_equity_gap,0.406669,0.326643,0.483804,0.95,1000
aps,0.2,coverage,0.921835,0.913106,0.931202,0.95,1000
aps,0.2,average_set_size,2.862403,2.806516,2.920228,0.95,1000
aps,0.2,coverage_equity_gap,0.104165,0.047487,0.163942,0.95,1000
raps,0.2,coverage,0.910853,0.901801,0.920228,0.95,1000
raps,0.2,average_set_size,2.57332,2.527124,2.618217,0.95,1000
raps,0.2,coverage_equity_gap,0.119761,0.06217,0.182529,0.95,1000
mondrian_cp,0.2,coverage,0.807817,0.794243,0.821059,0.95,1000
mondrian_cp,0.2,average_set_size,1.740633,1.707033,1.774233,0.95,1000
mondrian_cp,0.2,coverage_equity_gap,0.001539,-0.061308,0.066897,0.95,1000
frequency_grouped_cp,0.2,coverage,0.80168,0.787791,0.815254,0.95,1000
frequency_grouped_cp,0.2,average_set_size,1.55491,1.527132,1.58561,0.95,1000
frequency_grouped_cp,0.2,coverage_equity_gap,0.056145,-0.008385,0.123994,0.95,1000
