Method,alpha,Coverage,Avg Size,Coverage Equity Gap,# Below Target,Coverage CI Low,Coverage CI High
standard_cp,0.05,0.956072,2.988372,0.098158,5,0.949289,0.962855
aps,0.05,0.973837,4.466731,0.069396,3,0.968669,0.979328
raps,0.05,0.959948,3.587532,0.08716,5,0.952842,0.966408
mondrian_cp,0.05,0.94832,3.531331,0.011022,3,0.940568,0.955749
classwise_cp,0.05,0.94832,3.531331,0.011022,3,0.940568,0.955749
clustered_cp,0.05,0.952519,3.479974,0.032565,5,0.944444,0.959948
rc3p,0.05,0.952519,3.479974,0.032565,5,0.944444,0.959948
standard_cp,0.1,0.899548,2.04199,0.189955,5,0.889858,0.909561
aps,0.1,0.952519,3.668282,0.073299,2,0.945413,0.959625
raps,0.1,0.938953,3.051357,0.11134,5,0.930224,0.947036
mondrian_cp,0.1,0.906977,2.67345,0.018899,4,0.897287,0.916675
classwise_cp,0.1,0.906977,2.67345,0.018899,4,0.897287,0.916675
clustered_cp,0.1,0.902778,2.501938,0.040832,4,0.89308,0.912145
rc3p,0.1,0.902778,2.501938,0.040832,4,0.89308,0.912145
standard_cp,0.2,0.800388,1.309109,0.406669,6,0.786176,0.813962
aps,0.2,0.921835,2.862403,0.104165,2,0.913106,0.931202
raps,0.2,0.910853,2.57332,0.119761,2,0.901801,0.920228
mondrian_cp,0.2,0.807817,1.740633,0.001539,3,0.794243,0.821059
classwise_cp,0.2,0.807817,1.740633,0.001539,3,0.794243,0.821059
clustered_cp,0.2,0.80168,1.55491,0.056145,4,0.787791,0.815254
rc3p,0.2,0.80168,1.55491,0.056145,4,0.787791,0.815254
