Method,alpha,target_coverage,class_name,count,covered,coverage_rate,avg_set_size
standard_cp,0.05,0.95,AK,168,148,0.880952,4.095238
standard_cp,0.05,0.95,BCC,491,478,0.973523,3.562118
standard_cp,0.05,0.95,BKL,316,274,0.867089,3.651899
standard_cp,0.05,0.95,DF,46,43,0.934783,4.195652
standard_cp,0.05,0.95,MEL,679,658,0.969072,2.892489
standard_cp,0.05,0.95,NV,1272,1250,0.982704,2.358491
standard_cp,0.05,0.95,SCC,87,79,0.908046,4.402299
standard_cp,0.05,0.95,VASC,37,30,0.810811,3.27027
aps,0.05,0.95,AK,168,155,0.922619,5.404762
aps,0.05,0.95,BCC,491,485,0.98778,5.466395
aps,0.05,0.95,BKL,316,299,0.946203,5.297468
aps,0.05,0.95,DF,46,44,0.956522,5.282609
aps,0.05,0.95,MEL,679,671,0.988218,4.132548
aps,0.05,0.95,NV,1272,1247,0.980346,3.837264
aps,0.05,0.95,SCC,87,84,0.965517,5.390805
aps,0.05,0.95,VASC,37,30,0.810811,4.432432
raps,0.05,0.95,AK,168,142,0.845238,4.047619
raps,0.05,0.95,BCC,491,478,0.973523,4.002037
raps,0.05,0.95,BKL,316,281,0.889241,3.946203
raps,0.05,0.95,DF,46,42,0.913043,4.173913
raps,0.05,0.95,MEL,679,669,0.985272,3.462445
raps,0.05,0.95,NV,1272,1248,0.981132,3.285377
raps,0.05,0.95,SCC,87,81,0.931034,4.16092
raps,0.05,0.95,VASC,37,31,0.837838,3.540541
mondrian_cp,0.05,0.95,AK,168,160,0.952381,4.434524
mondrian_cp,0.05,0.95,BCC,491,462,0.940937,4.533605
mondrian_cp,0.05,0.95,BKL,316,305,0.96519,4.132911
mondrian_cp,0.05,0.95,DF,46,44,0.956522,4.521739
mondrian_cp,0.05,0.95,MEL,679,635,0.935199,3.382916
mondrian_cp,0.05,0.95,NV,1272,1212,0.95283,2.825472
mondrian_cp,0.05,0.95,SCC,87,85,0.977011,4.873563
mondrian_cp,0.05,0.95,VASC,37,33,0.891892,3.594595
frequency_grouped_cp,0.05,0.95,AK,168,154,0.916667,4.577381
frequency_grouped_cp,0.05,0.95,BCC,491,486,0.989817,4.281059
frequency_grouped_cp,0.05,0.95,BKL,316,295,0.933544,4.31962
frequency_grouped_cp,0.05,0.95,DF,46,45,0.978261,4.630435
frequency_grouped_cp,0.05,0.95,MEL,679,620,0.913108,3.428571
frequency_grouped_cp,0.05,0.95,NV,1272,1234,0.970126,2.686321
frequency_grouped_cp,0.05,0.95,SCC,87,82,0.942529,5.034483
frequency_grouped_cp,0.05,0.95,VASC,37,33,0.891892,3.837838
standard_cp,0.1,0.9,AK,168,112,0.666667,2.672619
standard_cp,0.1,0.9,BCC,491,463,0.942974,2.232179
standard_cp,0.1,0.9,BKL,316,237,0.75,2.553797
standard_cp,0.1,0.9,DF,46,39,0.847826,3.0
standard_cp,0.1,0.9,MEL,679,614,0.904271,2.008837
standard_cp,0.1,0.9,NV,1272,1229,0.966195,1.681604
standard_cp,0.1,0.9,SCC,87,63,0.724138,2.758621
standard_cp,0.1,0.9,VASC,37,28,0.756757,2.405405
aps,0.1,0.9,AK,168,146,0.869048,4.714286
aps,0.1,0.9,BCC,491,483,0.983707,4.708758
aps,0.1,0.9,BKL,316,287,0.908228,4.560127
aps,0.1,0.9,DF,46,43,0.934783,4.695652
aps,0.1,0.9,MEL,679,645,0.949926,3.377025
aps,0.1,0.9,NV,1272,1233,0.96934,2.948113
aps,0.1,0.9,SCC,87,82,0.942529,4.816092
aps,0.1,0.9,VASC,37,30,0.810811,3.621622
raps,0.1,0.9,AK,168,137,0.815476,3.755952
raps,0.1,0.9,BCC,491,475,0.967413,3.720978
raps,0.1,0.9,BKL,316,269,0.851266,3.575949
raps,0.1,0.9,DF,46,41,0.891304,3.826087
raps,0.1,0.9,MEL,679,646,0.951399,2.846834
raps,0.1,0.9,NV,1272,1232,0.968553,2.589623
raps,0.1,0.9,SCC,87,78,0.896552,3.908046
raps,0.1,0.9,VASC,37,29,0.783784,3.135135
mondrian_cp,0.1,0.9,AK,168,152,0.904762,3.428571
mondrian_cp,0.1,0.9,BCC,491,443,0.90224,3.352342
mondrian_cp,0.1,0.9,BKL,316,284,0.898734,3.142405
mondrian_cp,0.1,0.9,DF,46,41,0.891304,3.717391
mondrian_cp,0.1,0.9,MEL,679,605,0.891016,2.627393
mondrian_cp,0.1,0.9,NV,1272,1170,0.919811,2.086478
mondrian_cp,0.1,0.9,SCC,87,80,0.91954,3.908046
mondrian_cp,0.1,0.9,VASC,37,33,0.891892,3.054054
frequency_grouped_cp,0.1,0.9,AK,168,140,0.833333,3.505952
frequency_grouped_cp,0.1,0.9,BCC,491,478,0.973523,3.028513
frequency_grouped_cp,0.1,0.9,BKL,316,267,0.844937,3.053797
frequency_grouped_cp,0.1,0.9,DF,46,43,0.934783,3.565217
